date,admin2,market,latitude,longitude,commodity,unit,currency,price
2013-01-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,36
2013-02-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,35
2013-02-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,36
2013-03-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,35
2013-03-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,36
2013-04-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,35
2013-04-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,37
2013-05-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,36
2013-05-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,40
2013-06-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,36
2013-06-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,40
2013-07-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,36
2013-07-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,40
2013-08-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,36
2013-08-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,40
2013-10-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2013-10-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,40
2013-11-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,37
2013-11-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,37
2013-12-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2013-12-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,40
2014-02-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,35
2014-02-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,40
2014-03-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2014-03-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,40
2014-04-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2014-04-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,42
2014-05-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2014-05-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,42
2014-06-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,50
2014-06-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,42
2014-07-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,45
2014-07-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,42
2014-08-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,45
2014-08-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,42
2014-09-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2014-09-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,40
2014-10-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2014-10-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,40
2014-11-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,45
2014-11-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,42
2014-12-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2014-12-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,42
2015-01-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2015-01-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,42
2015-02-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2015-02-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,42
2015-03-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2015-03-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,42
2015-04-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2015-04-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,42
2015-05-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2015-05-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,42
2015-06-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2015-06-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,42
2015-07-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2015-07-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,42
2015-08-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2015-08-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,42
2015-09-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2015-09-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,42
2015-10-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2015-10-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,42
2015-11-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2015-11-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,42
2015-12-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2015-12-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,42
2016-01-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2016-01-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,42
2016-02-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2016-02-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,42
2016-03-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2016-03-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,42
2016-04-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2016-04-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,44
2016-05-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2016-05-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,44
2016-06-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2016-06-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,44
2016-07-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2016-07-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,44
2016-08-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2016-08-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,43
2016-09-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2016-09-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,43
2016-10-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2016-10-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,43
2016-11-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2016-11-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,43
2016-12-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2016-12-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,42
2017-01-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2017-01-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,42
2017-02-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2017-02-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,42
2017-03-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2017-03-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,42
2017-04-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2017-04-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,42
2018-04-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2018-04-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,40
2018-05-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,45
2018-05-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,42
2018-06-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,42
2018-06-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,43
2018-07-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,43
2018-07-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,44
2018-08-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,44
2018-08-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,45
2018-09-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2018-09-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,45
2018-10-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,40
2018-10-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,45
2018-11-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,38
2018-11-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,45
2018-12-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,39
2018-12-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,45
2019-01-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,39
2019-01-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,45
2019-02-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,39
2019-02-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,45
2019-03-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,41
2019-03-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,46
2019-04-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,43
2019-04-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,49
2019-04-15,ACHHAM,Mangalsen,29.10162042,81.22681594,Potatoes (red),KG,NPR,45
2019-04-15,ACHHAM,Mangalsen,29.10162042,81.22681594,Rice (coarse),KG,NPR,43
2019-04-15,ACHHAM,Mangalsen,29.10162042,81.22681594,Rice (medium grain),KG,NPR,68
2019-04-15,ACHHAM,Mangalsen,29.10162042,81.22681594,Wheat flour,KG,NPR,49
2019-04-15,ACHHAM,Mangalsen,29.10162042,81.22681594,Chickpeas,KG,NPR,125
2019-04-15,ACHHAM,Mangalsen,29.10162042,81.22681594,Lentils (broken),KG,NPR,130
2019-05-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,44
2019-05-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,49
2019-05-15,ACHHAM,Mangalsen,29.10162042,81.22681594,Potatoes (red),KG,NPR,45
2019-05-15,ACHHAM,Mangalsen,29.10162042,81.22681594,Rice (coarse),KG,NPR,44
2019-05-15,ACHHAM,Mangalsen,29.10162042,81.22681594,Rice (medium grain),KG,NPR,68
2019-05-15,ACHHAM,Mangalsen,29.10162042,81.22681594,Wheat flour,KG,NPR,49
2019-05-15,ACHHAM,Mangalsen,29.10162042,81.22681594,Chickpeas,KG,NPR,125
2019-05-15,ACHHAM,Mangalsen,29.10162042,81.22681594,Lentils (broken),KG,NPR,130
2019-06-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,45
2019-06-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,49
2019-06-15,ACHHAM,Mangalsen,29.10162042,81.22681594,Potatoes (red),KG,NPR,45
2019-06-15,ACHHAM,Mangalsen,29.10162042,81.22681594,Rice (coarse),KG,NPR,45
2019-06-15,ACHHAM,Mangalsen,29.10162042,81.22681594,Rice (medium grain),KG,NPR,68
2019-06-15,ACHHAM,Mangalsen,29.10162042,81.22681594,Wheat flour,KG,NPR,49
2019-06-15,ACHHAM,Mangalsen,29.10162042,81.22681594,Chickpeas,KG,NPR,130
2019-06-15,ACHHAM,Mangalsen,29.10162042,81.22681594,Lentils (broken),KG,NPR,135
2019-07-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,45
2019-07-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,49
